Civilisation,Titre,Description,Image,Age,Fabrication,Rayonnement
Europe Occidentale,Bassin aux norias,Bassin aux norias,Bassin aux norias.jpg,I,3,1
Europe Occidentale,"Cité portugaise de Mazagan, lieux de culte et citerne","Cité portugaise de Mazagan, lieux de culte et citerne","Cité portugaise de Mazagan, lieux de culte et citerne.jpg",II,5,3
Europe Occidentale,Citadelle de Baalbek,Citadelle de Baalbek,Citadelle de Baalbek.jpg,II,7,4
Europe Occidentale,La Zisa de Palerme,La Zisa de Palerme,La Zisa de Palerme.jpg,III,9,6
Europe Occidentale,Citadelle du Caire,Citadelle du Caire,Citadelle du Caire.jpg,III,10,7
Europe Occidentale,Citadelle d'Alep,Citadelle d'Alep,Citadelle d'Alep.jpg,III,8,5
Europe Occidentale,Tour Sainte Agathe,Tour Sainte Agathe,Tour Sainte Agathe.jpg,IV,13,9
Europe Occidentale,Mdina,Mdina,Mdina.jpg,IV,12,8
Europe Occidentale,Église Saint-Sauveur de Germigny des Prés,Église Saint-Sauveur de Germigny des Prés,Église Saint-Sauveur de Germigny des Prés.jpg,IV,14,10
Europe Occidentale,Cathédrale Notre-Dame du Puy-en Velay,Cathédrale Notre-Dame du Puy-en Velay,Cathédrale Notre-Dame du Puy-en Velay.jpg,IV,15,11
Moyen-Orient,Tour Campanaire,Tour Campanaire,Tour Campanaire.jpg,I,3,1
Moyen-Orient,Mosquée de Tinmal,Mosquée de Tinmal,Mosquée de Tinmal.jpg,II,4,2
Moyen-Orient,Buhayra,Buhayra,Buhayra.jpg,II,7,4
Moyen-Orient,Fontaine de Lindaraja,Fontaine de Lindaraja,Fontaine de Lindaraja.jpg,III,9,6
Moyen-Orient,Anjar,Anjar,Anjar.jpg,III,10,7
Moyen-Orient,Aljafería,Aljafería,Aljafería.jpg,III,9,6
Moyen-Orient,Palais de Hâjj Ahmad,Palais de Hâjj Ahmad,Palais de Hâjj Ahmad.jpg,IV,12,8
Moyen-Orient,Palais de l'Alhambra,Palais de l'Alhambra,Palais de l'Alhambra.jpg,IV,13,9
Moyen-Orient,Maison nasride,Maison nasride,Maison nasride.jpg,IV,15,11
Moyen-Orient,Maisons Chapiz,Maisons Chapiz,Maisons Chapiz.jpg,IV,14,10
Maghreb,Giralda,Giralda,Giralda.jpg,I,3,1
Maghreb,Real Alcazar,Real Alcazar,Real Alcazar.jpg,II,4,3
Maghreb,Fondaco dei Turchi,Fondaco dei Turchi,Fondaco dei Turchi.jpg,II,6,4
Maghreb,Église de l'Hôpital Saint-Blaise,Église de l'Hôpital Saint-Blaise,Église de l'Hôpital Saint-Blaise.jpg,III,8,5
Maghreb,Eglise mozarabe de Santa Maria de Lebena,Eglise mozarabe de Santa Maria de Lebena,Eglise mozarabe de Santa Maria de Lebena.jpg,III,10,6
Maghreb,La cathédrale latine Saint-Nicolas de Famagouste,La cathédrale latine Saint-Nicolas de Famagouste,La cathédrale latine Saint-Nicolas de Famagouste.jpg,III,11,7
Maghreb,La cathédrale grecque de Nicosie,La cathédrale grecque de Nicosie,La cathédrale grecque de Nicosie.jpg,IV,12,8
Maghreb,Cathédrale Saint-Georges-des-Grecs de Famagouste,Cathédrale Saint-Georges-des-Grecs de Famagouste,Cathédrale Saint-Georges-des-Grecs de Famagouste.jpg,IV,13,9
Maghreb,Le jardin et le pavillon de la Ménara,Le jardin et le pavillon de la Ménara,Le jardin et le pavillon de la Ménara.jpg,IV,14,10
Maghreb,Aqueduc Ain Zabuja (Fontaine de l'olivier sauvage),Aqueduc Ain Zabuja (Fontaine de l'olivier sauvage),Aqueduc Ain Zabuja (Fontaine de l'olivier sauvage).jpg,IV,15,11
Grèce,Aqueduc hafside,Aqueduc hafside,Aqueduc hafside.jpg,I,3,1
Grèce,Mosquée al-Hasan,Mosquée al-Hasan,Mosquée al-Hasan.jpg,II,6,4
Grèce,Mosquée de Cordoue,Mosquée de Cordoue,Mosquée de Cordoue.jpg,II,5,3
Grèce,Mosquée Kutubiyya,Mosquée Kutubiyya,Mosquée Kutubiyya.jpg,III,7,4
Grèce,Mosquée al-Qarawiyyîn,Mosquée al-Qarawiyyîn,Mosquée al-Qarawiyyîn.jpg,III,9,5
Grèce,Grande Mosquée de Damas,Grande Mosquée de Damas,Grande Mosquée de Damas.jpg,III,11,7
Grèce,Mosquée Al-Azhar,Mosquée Al-Azhar,Mosquée Al-Azhar.jpg,IV,12,9
Grèce,Minaret de la Grande Mosquée de Kairouan,Minaret de la Grande Mosquée de Kairouan,Minaret de la Grande Mosquée de Kairouan.jpg,IV,14,10
Grèce,Mosquée de Ouazzane,Mosquée de Ouazzane,Mosquée de Ouazzane.jpg,IV,14,10
Grèce,Mosquée Moulay al-Mekki,Mosquée Moulay al-Mekki,Mosquée Moulay al-Mekki.jpg,IV,15,11